company,change,confidence,why
Peripheral Systems,repackaged_to_ai,0.85,Pivoted from generic dev shop to AI-driven spatial awareness/behavioral analytics platform
Imaging Clinical Trial Services,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
InSilicoTrials,added_ai_feature,0.85,AI/analytics added to existing simulation platform; core offering unchanged
Davidovs Venture Collective (DVC),no_ai_change,0.99,Neither description mentions AI/ML. Growth in community size and unicorn founders noted.
Atomicwork,repackaged_to_ai,0.85,Core pivot from employee help platform to AI workforce automation system
Reset Solutions LLC,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Strove,no_ai_change,0.85,Neither description mentions AI/ML. Core offering unchanged: wellness platform with gamification.
Wyebot,added_ai_feature,0.85,Core WiFi analysis unchanged; AI added for automation and root cause identification
Didit Search Marketing,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Pixnetiq,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
B2Bee,repackaged_to_ai,0.85,Pivoted from generic B2B automation to AI-driven autonomous ordering for HoReCa
RoboCT,born_ai,0.95,AI/ML mentioned as core technology in both descriptions; no change detected.
SEtech,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Virtway Events,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Hyperlink,added_ai_feature,0.85,Core offering unchanged: rent compute power. AI now listed as use case.
Databook,repackaged_to_ai,0.85,Core pivot from intent dashboard to agentic workflows; AI now central to positioning
Bitsummit,no_ai_change,0.95,Neither description mentions AI/ML. Rebranding emphasizes consulting approach.
Data Insightz,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Pallet,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Yeeplatform,repackaged_to_ai,0.85,Core pivot from blockchain-secured subscription to AI-driven multilingual streaming platform
Grayscale,no_ai_change,0.85,Neither description mentions AI/ML. Both focus on hiring workflow automation.
Parkdepot,added_ai_feature,0.85,License plate recognition (AI) added to core parking lot digitization offering
Sky9 Capital,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
SiPearl,added_ai_feature,0.85,"HPC processors naturally serve AI; AI added to pitch, not core pivot"
CASAFARI,no_ai_change,0.85,Neither description explicitly mentions AI/ML. Both describe database and data processing.
Findernest,repackaged_to_ai,0.75,Shifted from HR-focused hiring platform to broad enterprise IT/consulting with AI as core pillar
Let'sMOD,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version.
PLAIO,repackaged_to_ai,0.85,Core offering pivoted from basic planning tools to AI-driven optimization platform
Definitive Intelligence,repackaged_to_ai,0.85,Pivoted from Web3 user analytics platform to generative AI data science products
Gomboc.AI,repackaged_to_ai,0.85,Core pivot from policy deviation detection to deterministic AI-driven remediation execution
DomainSkate,added_ai_feature,0.85,Core monitoring/mitigation offering unchanged; AI integrated December 2022 as enhancement
MAGIC,added_ai_feature,0.85,AI/ML core in both. Shift from technical specs to athlete coaching positioning.
Authena,added_ai_feature,0.75,Core offering (IoT+blockchain traceability) unchanged; AI added to pitch
BlockTech Brew,no_ai_change,0.95,Neither description mentions AI/ML. Blockchain focus unchanged.
Plytix,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Polaroo,repackaged_to_ai,0.85,Pivoted from bill management to AI-driven asset operations platform entirely
Picfair,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
PenguinSmart,born_ai,0.95,"Both descriptions emphasize 'data sciences' as core to intelligent, individualized therapy."
TreasureDAO,no_ai_change,0.95,Neither description mentions AI/ML. Gaming infrastructure focus unchanged.
e2f,repackaged_to_ai,0.95,Pivoted from localization/translation services to enterprise AI governance solutions
Sneak Peek Studios,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Headwall Photonics,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
NotedSource,added_ai_feature,0.75,Core business (expert network) unchanged; AI tools added to access layer
Datch,born_ai,0.95,"AI/ML central to both descriptions; messaging refined, not pivoted"
Fleksa,added_ai_feature,0.85,Core SaaS offering unchanged; AI added to website builder and SEO claims.
Siemens AG,added_ai_feature,0.85,"Shift to 'digital' integration, not explicit AI/ML mention in either description"
Connected-Stories,born_ai,0.95,AI was core in 2021 ('patented model powered by AI'); remains central now ('agentic system of specialized AI agents')
LatinX in AI (LXAI),born_ai,0.95,AI was core mission in 2021; descriptions are essentially identical
Infosearch BPO Services,no_ai_change,0.95,Descriptions identical; no AI/ML terminology in either version
Exverse,added_ai_feature,0.75,Core gaming/social experience unchanged; AI added to marketing pitch
Epistra,born_ai,0.95,AI/ML core to product in both descriptions; no meaningful change detected
IRM St-Joseph MRI,no_ai_change,0.99,Identical descriptions; no AI mentioned in either version.
Wrinkl,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Yuba City Advanced Imaging Center,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
7Puentes,no_ai_change,0.95,Descriptions identical; no AI/ML terminology in either version
Smartech Interactive,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Airwrk,added_ai_feature,0.85,Core marketplace unchanged; AI assessments added as hiring feature
Piranha NYC,no_ai_change,0.95,Neither description mentions AI/ML. Both describe creative production services.
Paranimo,no_ai_change,0.95,Identical descriptions; matching intelligence mentioned in both
ArtMaster,added_ai_feature,0.85,"AI assistant 'Artie' added; core offering (video lessons, teachers) unchanged"
InfoTrends,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
Dadosfera (Previously DataSprints),no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
SmartSender.io,no_ai_change,0.85,Neither description mentions AI/ML. Product rebranded; core offering unchanged.
AIONSPECTRUM,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
Thejobnotice,no_ai_change,0.95,Both descriptions identical; no AI mentioned in either version
KorrAI,repackaged_to_ai,0.85,Core pivot from mineral exploration to construction risk; AI remains central but application domain shifted entirely.
Futwork,repackaged_to_ai,0.85,Complete business pivot from student gig platform to AI-driven contact centre solutions
Local Fame,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version.
Ace It,repackaged_to_ai,0.85,Pivoted from student learning app to AI-powered educator content creation tool
Next Decentrum Technologies Inc,no_ai_change,0.95,Momentable.ai present in both; descriptions identical otherwise
Hexastate,born_ai,0.95,Identical descriptions; AI was core in 2021 and remains core now.
DataFeedWatch,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
EMAS Pro,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Ihateflyingbugs,repackaged_to_ai,0.85,Complete pivot from social network/PR to AI-driven education platform
ePlane,repackaged_to_ai,0.92,Pivoted from eCommerce marketplace to AI-driven operational automation platform
Maple Farm Media,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
PomVom,no_ai_change,0.95,Descriptions are identical; facial recognition mentioned in both.
H2L,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
1LAW,born_ai,0.95,AI mentioned as core efficiency/cost lever in both descriptions
WebMarkets,no_ai_change,0.95,Neither description mentions AI/ML. Core offering unchanged.
EnduroSat,no_ai_change,0.95,Neither description mentions AI/ML. Focus remains satellite manufacturing.
Vektor Medical,born_ai,0.85,Proprietary computational modeling in 2021 is AI/ML; explicitly named AI-based now.
VUURR,no_ai_change,0.95,Neither description mentions AI/ML. Focus shifted from SEO to web apps.
Advanced Remote Sensing,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Drive Hockey Analytics,born_ai,0.95,AI-driven platform core to both descriptions; messaging shifted from tech specs to customer outcomes.
Rio Grande Dermatology,no_ai_change,0.99,Identical descriptions; no AI mentioned in either version.
Rockset,no_ai_change,0.85,Both describe data infrastructure/search engine. No AI/ML mentioned either time.
Wallchain,repackaged_to_ai,0.85,Complete business pivot from crypto exchange tools to AI-driven creator marketing platform
Techwards,no_ai_change,0.95,Neither description mentions AI/ML. Shift from people development to tech services.
Flixxo,no_ai_change,0.95,Neither description mentions AI/ML. Focus shifted from decentralization to content curation.
Delphisonic,repackaged_to_ai,0.85,Core pivot from generic measurement tools to AI-powered predictive maintenance systems
Pivot,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
Cyabra,repackaged_to_ai,0.75,Shifted from threat detection to AI-driven manipulation analysis; core offering fundamentally evolved.
Planted Green,repackaged_to_ai,0.75,Pivoted from carbon offsetting to enterprise ESG SaaS with tech-driven analysis
CipherLab,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Tevel,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version
Ocoxe,ai_washing,0.85,AI mentioned in current pitch but core services unchanged from 2021
Techmetics Robotics,no_ai_change,0.85,Neither description mentions AI/ML. Focus shifted from broad to healthcare-specific.
Plentific,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version
State Affairs,repackaged_to_ai,0.85,Core pivot from journalism-only to AI-driven policy intelligence platform with structured data ingestion.
Owinda,no_ai_change,0.95,Descriptions identical; no AI/ML terminology in either version
Parseur.com,ai_washing,0.75,Core offering identical; 'AI' added to marketing pitch only
Reboot Rx,born_ai,0.95,AI mentioned as core component in both 2021 and current descriptions identically
eMed,no_ai_change,0.85,"Neither description mentions AI/ML. Expansion in services, not AI-driven."
Slant,no_ai_change,0.95,Neither description mentions AI/ML. Evolution is packaging and market positioning only.
Reputation Recovery Management,no_ai_change,0.95,Neither description mentions AI/ML. Descriptions are nearly identical.
Signpost,repackaged_to_ai,0.85,Pivoted from generic marketing automation to AI-first communications platform for contractors
1Fort,repackaged_to_ai,0.85,Core offering pivoted from cyber insurance automation to AI-driven broker workflow platform
Versify Labs,repackaged_to_ai,0.85,Core pivot from loyalty platform to web3+AI-driven analytics with new product (Maverik AI)
Ascend.io,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
SocialChamps Media Pvt.Ltd,added_ai_feature,0.85,Core digital marketing services unchanged; VISIBLE™ (Generative Engine Optimization) added as new AI product
SecureG,repackaged_to_ai,0.85,Pivoted from 5G security to AI security; core offering fundamentally changed
Promaxo,born_ai,0.95,AI/ML core to both descriptions; no meaningful change detected
Instrumental,born_ai,0.95,Descriptions identical; autonomous operation implies AI/ML from 2021
UPSaúde,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
Airchat,repackaged_to_ai,0.85,Core pivot from basic chatbot builder to AI-first multimodal platform with advanced capabilities
Camellia Women's Imaging,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version.
TestBox,repackaged_to_ai,0.85,Core pivot from comparison tool to AI-powered demo environment generation
Lexiconvo,born_ai,0.95,Identical descriptions; AI was core in 2021 and remains core now.
in8 Mobile,born_ai,0.95,Recognition technologies (visual/audio) are AI/ML core in both descriptions
FK3,no_ai_change,0.99,Descriptions are identical; no AI mentioned in either version.
Drife Solusi Integrasi,no_ai_change,0.95,"Descriptions identical. RPA is automation, not AI/ML-driven."
Genuity Science,added_ai_feature,0.85,AI mentioned in 2021; now emphasizes analytics platform with AI as integrated component
Luminary Cloud,repackaged_to_ai,0.85,Pivoted from vague 'computing innovations' to AI-powered physics simulation product
KINDPERKS,repackaged_to_ai,0.95,Complete pivot from restaurant discovery to AI-powered survey platform
Vanilla,no_ai_change,0.95,Neither description mentions AI/ML. Focus shifted from simplicity to advisor positioning.
MxTechies,born_ai,0.95,AI/ML listed first in both descriptions; no meaningful change detected
Ateam Ventures,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version.
Treedy's,added_ai_feature,0.85,3D scanning core in both; AI/ML analytics added to existing tech
Agilisium Consulting,repackaged_to_ai,0.92,Pivoted from generic cloud/data integration to specialized autonomous AI for life sciences
Ilink Digital,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Wazzat,no_ai_change,0.95,Descriptions are identical; no change detected between 2021 and now.
PeoplePad,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Kubus,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Rambl,no_ai_change,0.95,Descriptions identical; no AI/ML mentioned in either version
Eventige,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
Photokit,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Medialyzer,born_ai,0.95,AI/ML core to product in both descriptions; no change detected
Fether,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
True Interaction,no_ai_change,0.95,Descriptions identical; no AI mentioned in either version
GoHub,no_ai_change,0.95,"Neither description mentions AI/ML. GoHub is a VC fund, not a product company."
LiVeritas Biosciences,added_ai_feature,0.75,Core analytical testing service unchanged; AI/SaaS added as capability layer
Entrix,added_ai_feature,0.85,"Neither description explicitly mentions AI/ML. Current adds operational detail, not AI."
Infoseed,repackaged_to_ai,0.85,Pivoted from address-finding tool to conversational AI platform on WhatsApp
BakeSpace,added_ai_feature,0.92,BakeBot AI assistant added; core community/cookbook platform unchanged
TNG Shopper,repackaged_to_ai,0.85,Core pivot from web-to-store traffic to AI-driven content generation and search optimization
BlueEcom,ai_washing,0.85,"2021: services-based (e-commerce, marketing, media). Now: AI-centric pitch, vague offerings."
Symbiosis,born_ai,0.95,AI/ML core to product in both descriptions; no meaningful change detected
ItsaCheckmate,no_ai_change,0.95,Neither description mentions AI/ML. Core offering unchanged.
Kovio,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Bravrr Incorporated,no_ai_change,0.95,Descriptions are identical; no AI/ML mentioned in either version
Cybatar,repackaged_to_ai,0.75,Pivoted from investor/fuel tech to data platform; no AI mentioned either time
NICE Systems,born_ai,0.95,Advanced analytics and ML core to both descriptions; no meaningful change detected
Eduraja,no_ai_change,0.95,Neither description mentions AI/ML. Pivot from mobile comms to consulting/outsourcing.
CoreStack Inc,no_ai_change,0.95,Identical descriptions; no AI/ML mentioned in either version
Simpplr,born_ai,0.95,AI was core positioning in 2021; remains central to current description
Legit,repackaged_to_ai,0.85,Shifted from skincare products to AI-driven medical diagnostic software platform
Binocs,repackaged_to_ai,0.95,Complete pivot from crypto tax tool to agentic AI deal research platform
Shore Group,born_ai,0.95,ML explicitly core to offering in both 2021 and current descriptions
Advisable,repackaged_to_ai,0.85,Pivoted from general digital agency to AI-driven venture studio with specific tools.
Hono,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
Southtowns Radiology,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Deply,no_ai_change,0.95,Neither description mentions AI/ML. Blockchain ≠ AI.
LEO Technologies,born_ai,0.95,AI core to Verus product in both descriptions; no change detected
INTERSTELLAR LAB,repackaged_to_ai,0.85,Pivoted from space-focused habitat systems to Earth-based AI-driven bio-farming platform
Assembled,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version
Sanas,born_ai,0.95,AI/ML core in both descriptions; evolved from translation to speech-understanding platform
PreSkale,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version.
Watertower Ventures,repackaged_to_ai,0.85,Fund pivoted from broad mission-driven investing to AI-specific thesis
Augusta HiTech,no_ai_change,0.95,Descriptions are identical; AI mentioned in both as core technology
ReelSights,born_ai,0.95,AI was core in 2021; evolved positioning but remains AI-powered
Pennant Technologies,no_ai_change,0.95,Descriptions are identical; no AI mentioned in either version
Aki Technologies,no_ai_change,0.95,Descriptions are identical; AI/ML core to both versions
New 3D Technologies,no_ai_change,0.95,Identical descriptions; no AI mentioned in either version
CLUBZERØ,added_ai_feature,0.75,Core returnable packaging system unchanged; AI added for interoperability management.
SonarSource,added_ai_feature,0.75,Core code quality/security analysis unchanged; AI added for automated review capability
Carnelian Technologies,no_ai_change,0.95,Neither description mentions AI/ML. Core offering remains QA/testing services.
Verdant DevCore,added_ai_feature,0.85,Core PDaaS offering unchanged; AI/ML added as new service line
Ownit,repackaged_to_ai,0.85,Pivoted from checkout links to AI-generated shoppable content for search
Bending Spoons,added_ai_feature,0.85,2021 focused on products/mission. Now explicitly mentions ML/analytics capabilities added.
CloudSpotter Technologies,no_ai_change,0.85,Both describe photo sharing/delivery platform. No AI/ML mentioned either year.
