startup_name,description,website,founding_date,location,funding_stage,funding_amount,investors,team_size,founders,linkedin,twitter,contact_email,source,is_ai_related,ai_confidence_score,scraped_date
Spiral Genetics,Large Scale Genomic Data Mining Software,http://www.spiralgenetics.com,,"Seattle, WA, USA",Winter 2019,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
Union Apartment,"Furnished Co-living Apartments for International Students, here in…",http://www.unionapt.live,,"Los Angeles, CA, USA",Winter 2019,,Y Combinator,12.0,,,,,Y Combinator,False,0.0,
Mage,The safest way to buy and sell collectibles ,https://magemarket.com,,"Kiel, SH, Germany; Remote",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Basement,The social network for your close friends.,http://basement.social,,"New York, NY, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Tailor-ED,AI-powered corporate learning for accelerated employee growth & skill…,https://www.tailor-ed.com/,,"Tel Aviv-Yafo, Tel Aviv District, Israel",Winter 2019,,Y Combinator,10.0,,,,,Y Combinator,True,0.4,
Sublime Black,Automating Cyber Security Incident Response Through Artificial…,http://sublimeblack.com,,,Winter 2019,,Y Combinator,0.0,,,,,Y Combinator,False,0.0,
Frubana Inc,The everything store for restaurants in LATAM.,https://www.frubana.com,,"São Paulo, SP, Brazil",Winter 2019,,Y Combinator,384.0,,,,,Y Combinator,False,0.0,
Datamode,Datamode (datamode.com) is a tool for engineers to instantly diagnose…,http://www.datamode.com,,"Seattle, WA, USA",Winter 2019,,Y Combinator,1.0,,,,,Y Combinator,False,0.0,
54Gene,Precision medicine for Africans and the global population,http://www.54gene.com,,"Lagos, LA, Nigeria; LA, Nigeria",Winter 2019,,Y Combinator,47.0,,,,,Y Combinator,False,0.0,
Capture,"All your notes, tasks, and files in one super-fast workspace.",https://capture.so,,"New York, NY, USA; Remote",Winter 2019,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Traverse Technologies,AI driven professional engineering firm,https://traverse.ai,,"Singapore, Singapore",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,True,0.2,
Hypnos,A digital sleep journal that helps you get better sleep.,http://hypnos.ai,,"Dallas, TX, USA; Remote",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
DailyDoctor,"Daily telehealth care for people with COPD, CHF, hypertension, and…",https://www.mydailydoctor.com,,"San Jose, CA, USA; Remote",Winter 2019,,Y Combinator,,,,,,Y Combinator,False,0.0,
Fuse,Unified API for financial data aggregators.,https://www.letsfuse.com/,,"New York, NY, USA",Winter 2019,,Y Combinator,7.0,,,,,Y Combinator,False,0.0,
CareerTu,Online school for Chinese to learn in-demand digital skills ,https://careertu.com/,,"New York, NY, USA",Winter 2019,,Y Combinator,15.0,,,,,Y Combinator,False,0.0,
Cherry,Cherry lets employees choose their own workplace perks.,http://www.startcherry.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
AuroraQ,"Building the first practical, integrated quantum computer.",http://auroraq.com,,"Waterloo, ON, Canada",Winter 2019,,Y Combinator,1.0,,,,,Y Combinator,False,0.0,
BlitzIQ,Note taking workspace for B2B sales teams,http://www.blitziq.com,,,Winter 2019,,Y Combinator,0.0,,,,,Y Combinator,False,0.0,
Maitian.ai,"We make $1,000 Amazon Go stores.",https://maitian.ai,,"Singapore, Singapore",Winter 2019,,Y Combinator,5.0,,,,,Y Combinator,False,0.0,
PerShop,Your personal clothing store!,https://www.pershop.app,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Docucharm,Automate paperwork by turning documents into structured data.,http://www.docucharm.com,,"Mountain View, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Evo.Do,QA Bots for Games,http://www.evo.do/,,"Tel Aviv-Yafo, Tel Aviv District, Israel",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
ResistanceBio,We solve drug resistance for cancer,http://www.resistance.bio,,"Menlo Park, CA, USA; Overland, MO, USA",Winter 2019,,Y Combinator,15.0,,,,,Y Combinator,False,0.0,
Simmer,We do reviews for dishes. Our app helps users find the very best…,https://www.usesimmer.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Basilica,Basilica is an API that embeds high-dimensional data like images and…,https://www.basilica.ai,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Adventurous Co,Disney meets Airbnb Experiences,http://adventurous.co,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Herald,A collaborative repository for user feedback.,https://www.heraldhq.com,,"Dublin, CA, USA; Remote",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Avalanche,Referral program SDK for startups,https://useavalanche.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,1.0,,,,,Y Combinator,False,0.0,
Portal Entryways,Portal Entryways upgrades disabled-accessible doors so they can be…,https://www.portalentryways.com/,,"Provo, UT, USA; Remote",Winter 2019,,Y Combinator,4.0,,,,,Y Combinator,False,0.0,
Chaser,No code app builder. ,,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Green Energy Exchange,We deliver affordable renewable energy direct to customers and are…,http://getgex.com,,"Austin, TX, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
DevFlight,Managed equipment data pipelines for manufacturers,https://devflight.com,,"Somerville, MA, USA; Remote",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Comradery,White-label Bookface for companies and communities!,https://comradery.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,1.0,,,,,Y Combinator,False,0.0,
SpaceRyde,The Rocket Network: Sustainable & On-Demand Delivery Anywhere in Space,http://www.spaceryde.com,,"Toronto, ON, Canada",Winter 2019,,Y Combinator,33.0,,,,,Y Combinator,False,0.0,
Pengram,Indoor navigation through augmented reality on your phone. ,http://pengramar.com,,"Santa Clara, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
Kopa,Find furnished rentals and compatible housemates for 1-12 month stays ,https://www.kopa.co,,"San Francisco, CA, USA; Remote",Winter 2019,,Y Combinator,6.0,,,,,Y Combinator,False,0.0,
Vectordash,Play high-end PC games on your laptop by streaming them.,https://vectordash.com,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,3.0,,,,,Y Combinator,False,0.0,
Volk Wireless,,http://volkfi.com,,,Winter 2019,,Y Combinator,0.0,,,,,Y Combinator,False,0.0,
Brick Health,Building infrastructure to expand scope and quality of virtual care,https://brick.health,,"Miami, FL, USA; Remote",Winter 2019,,Y Combinator,1.0,,,,,Y Combinator,False,0.0,
Allo,Allo is an app that helps neighboring families meet and help each…,https://www.allocommunity.com/,,"San Francisco, CA, USA",Winter 2019,,Y Combinator,2.0,,,,,Y Combinator,False,0.0,
